Fichier;Type;Cat;Average
Pitchfork - The Pitchfork 500 - 1994 to 1996 - 2006;SONG;MISCELLANEOUS;3,659
Spin - Song - 2011;SONG;YEAR;3,667
Q - Album - 1999;ALBUM;YEAR;3,689
Spin - The 30 Best ’90s R&B Songs - 2017;SONG;GENRE;3,7
Mojo - 100 Punk Scorchers - 2001;SONG;GENRE;3,71
NME - Songs - 2005;SONG;YEAR;3,71
MusicForAnts - Album - 2006;ALBUM;YEAR;3,72
Spin - Song - 1999;SONG;YEAR;3,727
Spin - Song - 2012;SONG;YEAR;3,75
Le Choix - Disco - 2008;SONG;GENRE;3,75
NME - Songs - 2017;SONG;YEAR;3,76
NME - Album - 2006;ALBUM;YEAR;3,761
MusicForAnts - Album - 2008;ALBUM;YEAR;3,8
AllMusic - Album - 2017;ALBUM;YEAR;3,8
Spin - Song - 2016;SONG;YEAR;3,817
Q - 100 Women Who Rock The World - 2002;ALBUM;ALL_TIME;3,82
Mojo - 100 Greatest Motown Tracks - 2009;SONG;GENRE;3,82
AllMusic - Album - 2009;ALBUM;YEAR;3,873
Mojo - The Ultimate Out There Albums - 2005;ALBUM;GENRE;3,92
AllMusic - Album - 2015;ALBUM;YEAR;3,945
Spin - Alternative Albums Of The 1960's - 2013;ALBUM;THEME;3,949
Spin - Song - 1998;SONG;YEAR;3,958
Inrock - Punk;SONG;GENRE;3,962
Uncut - The 50 Greatest American Punk LPs - 2014;ALBUM;ALL_TIME;3,98
Q - 1010 Songs You Must Own - 2004;SONG;ALL_TIME;3,988
Spin - Ten Most Underrated Albums Of All Time - 1991;ALBUM;THEME;4
Rolling Stone - Album - 1982;ALBUM;YEAR;4
NME - Songs - 2000;SONG;YEAR;4
Rolling Stone - Song - 1979;SONG;YEAR;4
PopMatters - Album - 2012;ALBUM;YEAR;4,013
Spin - The 100 Most Representative Funk Songs - 1989;SONG;GENRE;4,02
1001 Greatest Songs by Toby Creswell;SONG;ALL_TIME;4,027
Q - Album - 1991;ALBUM;YEAR;4,04
Le Choix - Songs - 2001;SONG;YEAR;4,042
Rolling Stone - Song - 2009;SONG;YEAR;4,042
The Guardian - Album - 2009;ALBUM;YEAR;4,06
Rolling Stone - Album - 2012;ALBUM;YEAR;4,06
NME - Songs - 1995;SONG;YEAR;4,07
Pitchfork - 200 Best Tracks of the Decade So Far (2010-2014) - 2014;SONG;DECADE;4,077
Q - Album - 1996;ALBUM;YEAR;4,08
NME - Songs - 1982;SONG;YEAR;4,083
Pitchfork - The Pitchfork 500 - 1991 to 1993 - 2006;SONG;MISCELLANEOUS;4,122
Spin - Album - 2012;ALBUM;YEAR;4,122
Rolling Stone - Song - 1981;SONG;YEAR;4,125
Le Choix - Rockabilly - 2009;SONG;GENRE;4,143
Spin - Song - 2009;SONG;YEAR;4,15
Spin - Album - 1992;ALBUM;YEAR;4,15
MusicForAnts - Album - 2005;ALBUM;YEAR;4,16
Mojo Special Edition - The UK Indie Top 100 Records - Single;SONG;ALL_TIME;4,173
Pitchfork - Top 500 Tracks of the 2000s - 2009;SONG;DECADE;4,174
Mojo - Ultimate Jukebox The 100 Singles You Must Own - 2003;SONG;ALL_TIME;4,192
Q - Album - 1987;ALBUM;YEAR;4,2
The Guardian - Song - 2005;SONG;YEAR;4,2
The Guardian - Song - 2016;SONG;YEAR;4,2
GorillaVsBear - Album - 2010;ALBUM;YEAR;4,2
AllMusic - Album - 2008;ALBUM;YEAR;4,234
PopMatters - Album - 2015;ALBUM;YEAR;4,25
Pitchfork - Song - 2005;SONG;YEAR;4,26
Mojo - 100 Greatest Protest Songs - 2004;SONG;THEME;4,263
Spin - Song - 2001;SONG;YEAR;4,273
Rolling Stone - Album - 2017;ALBUM;YEAR;4,275
PopMatters - Album - 2004;ALBUM;YEAR;4,28
Mojo - Song - 2002;SONG;YEAR;4,286
Mojo - 100 Greatest Songs Of All The Time - 2000;SONG;ALL_TIME;4,295
Mojo - Top 50 UK Eccentric Albums - 2003;ALBUM;THEME;4,3
Uncut - Album - 2017;ALBUM;YEAR;4,307
PopMatters - Album - 2014;ALBUM;YEAR;4,312
Le Choix - Indispensables 60s - 2010;SONG;DECADE;4,333
Rolling Stone - Song - 1985;SONG;YEAR;4,333
Q - Album - 2012;ALBUM;YEAR;4,34
NME - 50 Albums To Hear Before You Die - May 2016;ALBUM;ALL_TIME;4,357
The Guardian - A HISTORY OF MODERN MUSIC DANCE - 2011;SONG;ALL_TIME;4,374
Mojo - Album - 2010;ALBUM;YEAR;4,38
Q - The Who - 20 Greatest Songs - 2004;SONG;THEME;4,385
Rolling Stone - Album - 2006;ALBUM;YEAR;4,4
The Guardian - 1000 Songs Everyone Must Hear - 2009;SONG;ALL_TIME;4,401
Uncut - Album - 2016;ALBUM;YEAR;4,413
Mojo - 100 Epic Rock Tracks - 2004;SONG;GENRE;4,42
Rolling Stone - Album - 1988;ALBUM;YEAR;4,421
NME - Album - 2003;ALBUM;YEAR;4,422
NME - Songs - 1996;SONG;YEAR;4,435
NME - 17 Songs To Soundtrack Your Summer;SONG;THEME;4,439
The Guardian - 1000 Albums to Hear Before You Die - 2007;ALBUM;ALL_TIME;4,44
Mojo - Album - 2006;ALBUM;YEAR;4,44
Pitchfork - The 200 Best Songs of the 1960s - 2006;SONG;DECADE;4,463
Le Choix - Album - 2008;ALBUM;YEAR;4,463
Spin - One-Hit Wonderland - Alt-Rock 42 Greatest Novelty Hits - 1998;SONG;THEME;4,476
Spin - Song - 2000;SONG;YEAR;4,478
Q - Album - 1992;ALBUM;YEAR;4,49
Q - The Smiths & Morrissey - 2004;SONG;THEME;4,5
Q - The Story Of Grunge - Songs - 2005;SONG;GENRE;4,5
Pitchfork - Album - 2002;ALBUM;YEAR;4,51
Spin - The 50 Best Songs by Musicians Who Went Solo - 2017;SONG;THEME;4,52
Pitchfork - The Pitchfork 500 - 1983 to 1986 - 2006;SONG;MISCELLANEOUS;4,521
Le Choix - Punk - 2008;SONG;GENRE;4,525
The Guardian - Song - 2014;SONG;YEAR;4,55
AllMusic - Album - 2012;ALBUM;YEAR;4,56
Mojo - Album - 2009;ALBUM;YEAR;4,56
Mojo - Album - 2013;ALBUM;YEAR;4,56
Mojo - Album - 2017;ALBUM;YEAR;4,56
NME - Album - 2012;ALBUM;YEAR;4,58
Q - Album - 1993;ALBUM;YEAR;4,58
AllMusic - Album - 2014;ALBUM;YEAR;4,58
AllMusic - Album - 2010;ALBUM;YEAR;4,585
Spin - Best Albums That You've Never Heard Of - 2000;ALBUM;ALL_TIME;4,65
The Guardian - Song - 2013;SONG;YEAR;4,65
Le Choix - Songs - 2005;SONG;YEAR;4,65
Pitchfork - Album - 2003;ALBUM;YEAR;4,653
Spin - Song - 1994;SONG;YEAR;4,667
NME - Tracks Of The Decade (2010's)...So Far;SONG;DECADE;4,673
Q - Album - 2010;ALBUM;YEAR;4,68
Paste - Album - 2017;ALBUM;YEAR;4,68
AllMusic - Album - 2007;ALBUM;YEAR;4,683
Q - Album - 1998;ALBUM;YEAR;4,689
PopMatters - Album - 2006;ALBUM;YEAR;4,695
NME - The 50's;SONG;DECADE;4,71
Rolling Stone - Album - 2015;ALBUM;YEAR;4,72
AllMusic - Album - 2013;ALBUM;YEAR;4,72
Spin - Album - 2006;ALBUM;YEAR;4,725
Paste - Album - 2011;ALBUM;YEAR;4,74
Mojo - Album - 2008;ALBUM;YEAR;4,74
Spin - Song - 1997;SONG;YEAR;4,75
Spin - Album - 1990;ALBUM;YEAR;4,75
PopMatters - Album - 2011;ALBUM;YEAR;4,763
Mojo - Album - 1996;ALBUM;YEAR;4,8
